,Domain,Phylum,Class,Order,Family,Genus,Species
OUT1063,B,Small,4,Bitter,Less-bitter,Beta,14
OUT1064,B,Medium,4,Bitter,Less-bitter,Beta,14
OUT1065,B,Medium,4,Bitter,More-Bitter,Beta,14
OUT1066,B,Medium,5,Bitter,More-Bitter,Beta,9
OUT1067,B,Medium,5,Bitter,More-Bitter,Beta,13
OUT1068,B,Medium,5,Bitter,More-Bitter,Beta,12
OUT1069,B,Medium,7,Bitter,More-Bitter,Beta,8
OUT1070,B,Large,10,Bitter,More-Bitter,Beta,5
OUT1071,B,Medium,2,Non-Bitter,Less-bitter,Alphas2,10
OUT1072,B,Small,2,Bitter,Less-bitter,Other,4
OUT1073,B,Medium,2,Bitter,Less-bitter,Other,6
OUT1074,I,Medium,2,Non-Bitter,Less-bitter,Other,7
OUT1075,B,Medium,4,Non-Bitter,Less-bitter,Beta,4
OUT1076,B,Medium,4,Non-Bitter,More-Bitter,Beta,7
OUT1077,B,Medium,6,Non-Bitter,More-Bitter,Beta,9
OUT1078,B,Medium,6,Non-Bitter,More-Bitter,Beta,5
OUT1079,B,Medium,6,Non-Bitter,Less-bitter,Beta,6
OUT1080,NB,Medium,2,Non-Bitter,Less-bitter,Kappa,8
OUT1081,B,Medium,1,Non-Bitter,More-Bitter,Alphas1,4
OUT1082,B,Medium,1,Non-Bitter,Less-bitter,Alphas1,7
OUT1083,B,Small,1,Bitter,Less-bitter,Alphas1,14
OUT1084,B,Medium,2,Bitter,Less-bitter,Alphas1,10
OUT1085,B,Small,0,Bitter,Less-bitter,Alphas1,11
OUT1086,B,Medium,0,Bitter,Less-bitter,Alphas1,8
OUT1087,B,Small,0,Bitter,Less-bitter,Alphas1,10
OUT1088,B,Medium,0,Bitter,Less-bitter,Alphas1,7
OUT1089,B,Small,1,Non-Bitter,Less-bitter,Alphas1,11
OUT1090,B,Small,3,Bitter,Less-bitter,Beta,14
OUT1091,B,Small,3,Bitter,Less-bitter,Beta,14
OUT1092,B,Small,4,Bitter,Less-bitter,Beta,14
OUT1093,B,Medium,4,Bitter,Less-bitter,Beta,14
OUT1094,B,Medium,4,Bitter,Less-bitter,Beta,14
OUT1095,B,Medium,4,Bitter,More-Bitter,Beta,6
OUT1096,B,Medium,5,Bitter,More-Bitter,Beta,13
OUT1097,B,Medium,5,Bitter,Less-bitter,Beta,8
OUT1098,B,Small,4,Bitter,Less-bitter,Other,9
OUT1099,B,Small,2,Non-Bitter,Less-bitter,Beta,13
OUT1100,B,Small,1,Non-Bitter,Less-bitter,Alphas1,14
OUT1101,B,Small,1,Non-Bitter,Less-bitter,Kappa,12
OUT1102,B,Small,2,Bitter,Less-bitter,Beta,8
OUT1103,B,Small,2,Bitter,Less-bitter,Beta,10
OUT1104,B,Medium,2,Bitter,Less-bitter,Beta,10
OUT1105,NB,Medium,2,Non-Bitter,Less-bitter,Beta,9
OUT1106,NB,Medium,2,Non-Bitter,Less-bitter,Beta,4
OUT1107,B,Small,2,Bitter,Less-bitter,Beta,13
OUT1108,B,Medium,2,Bitter,Less-bitter,Beta,8
OUT1109,B,Medium,2,Bitter,Less-bitter,Beta,14
OUT1110,B,Medium,3,Bitter,Less-bitter,Beta,11
OUT1111,B,Medium,3,Bitter,More-Bitter,Beta,14
OUT1112,B,Medium,4,Bitter,More-Bitter,Beta,12
OUT1113,B,Medium,4,Bitter,More-Bitter,Beta,13
OUT1114,B,Medium,4,Bitter,More-Bitter,Beta,5
OUT1115,B,Medium,2,Bitter,More-Bitter,Alphas2,12
OUT1116,B,Medium,2,Bitter,More-Bitter,Alphas2,9
OUT1117,B,Medium,2,Bitter,More-Bitter,Alphas2,9
OUT1118,I,Medium,2,Bitter,More-Bitter,Alphas2,8
OUT1119,B,Medium,4,Bitter,More-Bitter,Alphas2,7
OUT1120,B,Medium,4,Bitter,Less-bitter,Alphas2,7
OUT1121,B,Small,1,Non-Bitter,Less-bitter,Alphas2,4
OUT1122,B,Small,1,Non-Bitter,Less-bitter,Alphas2,8
OUT1123,B,Small,1,Non-Bitter,Less-bitter,Alphas2,11
OUT1124,B,Medium,1,Non-Bitter,Less-bitter,Alphas2,4
OUT1125,B,Small,1,Non-Bitter,Less-bitter,Kappa,9
OUT1126,B,Small,1,Bitter,Less-bitter,Alphas1,7
OUT1127,B,Small,1,Bitter,Less-bitter,Alphas1,11
OUT1128,B,Medium,1,Non-Bitter,Less-bitter,Kappa,5
OUT1129,B,Small,1,Bitter,Less-bitter,Alphas1,6
OUT1130,B,Medium,1,Bitter,Less-bitter,Alphas1,9
